,위도,경도
83,37.574428,127.039712
84,37.57097,127.056703
85,37.57097,127.056703
86,37.574428,127.039712
87,37.574428,127.039712
88,37.588799,127.04528
89,37.593733,127.051434
90,37.574428,127.039712
91,37.574428,127.039712
92,37.574428,127.039712
93,37.574428,127.039712
94,37.606736,127.092924
95,37.606736,127.092924
96,37.606736,127.092924
97,37.587331,127.087419
98,37.606736,127.092924
99,37.582921,127.088107
100,37.606736,127.092924
101,37.606736,127.092924
102,37.606736,127.092924
103,37.606736,127.092924
104,37.606736,127.092924
105,37.606736,127.092924
106,37.601504,127.106215
107,37.606736,127.092924
108,37.605867,127.099356
109,37.606188,127.094222
110,37.597248,126.992899
111,37.590836,127.01467
112,37.593984,127.020426
113,37.58944,127.016817
114,37.58944,127.016817
115,37.585892,127.021381
116,37.58038,127.022857
117,37.58944,127.016817
118,37.58944,127.016817
119,37.58944,127.016817
120,37.58944,127.016817
121,37.58944,127.016817
122,37.58944,127.016817
123,37.597176,127.033894
124,37.58944,127.016817
125,37.58944,127.016817
126,37.58944,127.016817
127,37.58944,127.016817
128,37.58944,127.016817
129,37.608265,127.061465
130,37.627368,127.0183
131,37.621106,127.023865
132,37.616062,127.033819
133,37.618268,127.023845
134,37.616702,127.017511
135,37.637825,127.028802
136,37.632572,127.038693
137,37.625852,127.046619
138,37.630309,127.017684
139,37.644753,127.019941
140,37.638832,127.023089
141,37.663286,127.000508
142,37.641485,127.010591
143,37.668639,127.047364
144,37.668639,127.047364
145,37.668639,127.047364
146,37.668639,127.047364
147,37.668639,127.047364
148,37.668639,127.047364
149,37.668639,127.047364
150,37.668639,127.047364
151,37.668639,127.047364
152,37.668639,127.047364
153,37.668639,127.047364
154,37.668639,127.047364
155,37.668639,127.047364
156,37.668639,127.047364
157,37.619919,127.062984
158,37.63251,127.051031
159,37.620949,127.069054
160,37.624843,127.07382
161,37.621268,127.083357
162,37.640485,127.072685
163,37.632123,127.068053
164,37.647853,127.080401
165,37.652551,127.077488
166,37.658763,127.077989
167,37.64204,127.068711
168,37.679855,127.05502
169,37.65886,127.068479
170,37.672624,127.08302
171,37.662994,127.06947
172,37.654919,127.066919
173,37.666726,127.051548
174,37.66449,127.063818
175,37.661245,127.060243
176,37.605314,126.934567
177,37.602766,126.928839
178,37.602766,126.928839
179,37.602766,126.928839
180,37.602766,126.928839
181,37.611074,126.907302
182,37.612256,126.923141
183,37.602766,126.928839
184,37.602766,126.928839
185,37.602766,126.928839
186,37.604582,126.914611
187,37.602766,126.928839
188,37.602766,126.928839
189,37.584166,126.905952
190,37.585574,126.894529
191,37.639681,126.937804
192,37.567945,126.959437
193,37.562431,126.954397
194,37.56483,126.954715
195,37.56555,126.941382
196,37.571987,126.932812
197,37.579213,126.936773
198,37.579213,126.936773
199,37.579213,126.936773
200,37.579213,126.936773
201,37.579213,126.936773
202,37.579213,126.936773
203,37.579213,126.936773
204,37.579213,126.936773
205,37.579213,126.936773
206,37.554474,126.956308
207,37.548092,126.954994
208,37.539758,126.950007
209,37.541502,126.940443
210,37.549807,126.943177
211,37.549096,126.947307
212,37.548524,126.936813
213,37.54778,126.932218
214,37.553838,126.918765
215,37.547027,126.909029
216,37.566404,126.901763
217,37.566404,126.901763
218,37.563027,126.921519
219,37.566404,126.901763
220,37.566404,126.901763
221,37.570748,126.87984
222,37.530433,126.870985
223,37.546108,126.871631
224,37.544858,126.864408
225,37.532327,126.868343
226,37.535136,126.87854
227,37.532815,126.83153
228,37.52497,126.844572
229,37.533674,126.82905
230,37.524619,126.840063
231,37.538566,126.827186
232,37.516265,126.843631
233,37.521756,126.834791
234,37.51855,126.854354
235,37.519267,126.870723
236,37.515086,126.854859
237,37.523422,126.85868
238,37.517053,126.864399
239,37.514412,126.8597
240,37.554552,126.871764
241,37.550968,126.849614
242,37.550968,126.849614
243,37.550968,126.849614
244,37.550968,126.849614
245,37.550968,126.849614
246,37.550968,126.849614
247,37.550968,126.849614
248,37.544092,126.847626
249,37.550968,126.849614
250,37.550968,126.849614
251,37.550968,126.849614
252,37.550968,126.849614
253,37.550968,126.849614
254,37.550968,126.849614
255,37.548198,126.841792
256,37.554779,126.810453
257,37.550968,126.849614
258,37.550968,126.849614
259,37.550968,126.849614
260,37.509951,126.882174
261,37.49565,126.887771
262,37.49565,126.887771
263,37.49565,126.887771
264,37.49565,126.887771
265,37.49565,126.887771
266,37.482704,126.888019
